OID,State,code of municipality,Municipality
1,Mexico City,9012,Tlalpan
2,Mexico City,9013,Xochimilco
3,Mexico City,9008,La Magdalena Contreras
4,Mexico City,9002,Azcapotzalco
5,Mexico City,9014,Benito Juarez
6,Mexico City,9015,Cuauhtemoc
7,Mexico City,9010,Alvaro Obregon
8,Mexico City,9005,Gustavo A. Madero
9,Mexico City,9004,Cuajimalpa de Morelos
10,Mexico City,9016,Miguel Hidalgo
11,Mexico City,9006,Iztacalco
12,Mexico City,9003,Coyoacan
13,Mexico City,9017,Venustiano Carranza
14,Mexico City,9011,Tlahuac
15,Mexico City,9007,Iztapalapa
16,Mexico City,9009,Milpa Alta
17,Guerrero,12006,Apaxtla
18,Guerrero,12017,Cocula
19,Guerrero,12026,Cuetzala del Progreso
20,Guerrero,12028,Chilapa de Alvarez
21,Guerrero,12029,Chilpancingo de los Bravo
22,Guerrero,12031,General Canuto A. Neri
23,Guerrero,12032,General Heliodoro Castillo
24,Guerrero,12034,Huitzuco de los Figueroa
25,Guerrero,12039,Juan R. Escudero
26,Guerrero,12040,Leonardo Bravo
27,Guerrero,12042,Martir de Cuilapan
28,Guerrero,12044,Mochitlan
29,Guerrero,12051,Quechultenango
30,Guerrero,12053,San Marcos
31,Guerrero,12056,Tecoanapa
32,Guerrero,12058,Teloloapan
33,Guerrero,12059,Tepecoacuilco de Trujano
34,Guerrero,12061,Tixtla de Guerrero
35,Guerrero,12074,Zitlala
36,Guerrero,12075,Eduardo Neri
37,Guerrero,12035,Iguala de la Independencia
38,Guerrero,12021,Coyuca de Benitez
39,Guerrero,12005,Alpoyeca
40,Guerrero,12008,Atenango del Rio
41,Guerrero,12009,Atlamajalcingo del Monte
42,Guerrero,12010,Atlixtac
43,Guerrero,12012,Ayutla de los Libres
44,Guerrero,12013,Azoy
45,Guerrero,12018,Copala
46,Guerrero,12019,Copalillo
47,Guerrero,12020,Copanatoyac
48,Guerrero,12024,Cualac
49,Guerrero,12025,Cuautepec
50,Guerrero,12030,Florencio Villarreal
51,Guerrero,12033,Huamuxtitlan
52,Guerrero,12036,Igualapa
53,Guerrero,12041,Malinaltepec
54,Guerrero,12045,Olinala
55,Guerrero,12046,Ometepec
56,Guerrero,12052,San Luis Acatlan
57,Guerrero,12063,Tlacoapa
58,Guerrero,12066,Tlapa de Comonfort
59,Guerrero,12069,Xalpatlahuac
60,Guerrero,12070,Xochihuehuetlan
61,Guerrero,12071,Xochistlahuaca
62,Guerrero,12072,Zapotitlan Tablas
63,Guerrero,12076,Acatepec
64,Guerrero,12077,Marquelia
65,Guerrero,12079,Jose Joaquin de Herrera
66,Guerrero,12080,Juchitan
67,Guerrero,12081,Iliatenco
68,Guerrero,12023,Cuajinicuilapa
69,Guerrero,12062,Tlacoachistlahuaca
70,Guerrero,12065,Tlalixtaquilla de Maldonado
71,Guerrero,12004,Alcozauca de Guerrero
72,Guerrero,12043,Metlatanoc
73,Guerrero,12078,Cochoapa el Grande
74,Guerrero,12002,Ahuacuotzingo
75,Guerrero,12048,Petatlan
76,Guerrero,12003,Ajuchitlan del Progreso
77,Guerrero,12007,Arcelia
78,Guerrero,12011,Atoyac de Alvarez
79,Guerrero,12014,Benito Juarez
80,Guerrero,12016,Coahuayutla de Jose Maria Izazaga
81,Guerrero,12027,Cutzamala de Pinzon
82,Guerrero,12054,San Miguel Totolapan
83,Guerrero,12057,Tecpan de Galeana
84,Guerrero,12064,Tlalchapa
85,Guerrero,12067,Tlapehuala
86,Guerrero,12022,Coyuca de Catalan
87,Guerrero,12073,Zirandaro
88,Guerrero,12068,La Union de Isidoro Montes de Oca
89,Guerrero,12037,Ixcateopan de Cuauhtemoc
90,Guerrero,12047,Pedro Ascencio Alquisiras
91,Guerrero,12049,Pilcaya
92,Guerrero,12060,Tetipac
93,Guerrero,12055,Taxco de Alarcon
94,Guerrero,12015,Buenavista de Cuellar
95,Guerrero,12050,Pungarabato
96,Guerrero,12038,Zihuatanejo de Azueta
97,Guerrero,12001,Acapulco de Juarez
98,State of Mexico,15082,Tejupilco
99,State of Mexico,15104,Tlalnepantla de Baz
100,State of Mexico,15075,San Martin de las Piramides
101,State of Mexico,15065,Otumba
102,State of Mexico,15044,Jaltenco
103,State of Mexico,15049,Joquicingo
104,State of Mexico,15004,Almoloya de Alquisiras
105,State of Mexico,15088,Tenancingo
106,State of Mexico,15056,Morelos
107,State of Mexico,15125,Tonanitla
108,State of Mexico,15124,San Jose del Rincon
109,State of Mexico,15123,Luvianos
110,State of Mexico,15122,Valle de Chalco Solidaridad
111,State of Mexico,15121,Cuautitlan Izcalli
112,State of Mexico,15120,Zumpango
113,State of Mexico,15119,Zumpahuacan
114,State of Mexico,15118,Zinacantepec
115,State of Mexico,15117,Zacualpan
116,State of Mexico,15116,Zacazonapan
117,State of Mexico,15115,Xonacatlan
118,State of Mexico,15114,Villa Victoria
119,State of Mexico,15113,Villa Guerrero
120,State of Mexico,15112,Villa del Carbon
121,State of Mexico,15111,Villa de Allende
122,State of Mexico,15110,Valle de Bravo
123,State of Mexico,15109,Tultitlan
124,State of Mexico,15108,Tultepec
125,State of Mexico,15107,Tonatico
126,State of Mexico,15106,Toluca
