result,week,covid_very_high,covid_high,covid_moderate,covid_low
total,Jan-week 1,0,0,0,0
total,Jan-week 2,0,0,0,0
total,Jan-week 3,0,0,1,1
total,Jan-week 4,0,0,0,0
total,Jan-week 5,0,0,1,1
total,Feb-week 6,0,0,0,1
total,Feb-week 7,0,0,0,0
total,Feb-week 8,0,0,1,0
total,Feb-week 9,0,0,0,1
total,Feb-week 10,0,0,6,0
total,Mar-week 11,0,0,0,3
total,Mar-week 12,1,1,6,80
total,Mar-week 13,2,6,123,196
total,Mar-week 14,6,32,348,273
total,Mar-week 15,13,74,766,355
total,Mar-week 16,33,37,399,780
total,Apr-week 17,4,105,925,146
total,Apr-week 18,57,309,2115,1155
total,Apr-week 19,114,691,3959,1563
total,Apr-week 20,94,1185,5822,1384
total,Apr-week 21,73,942,4394,691
total,May-week 22,204,555,2497,2703
total,May-week 23,281,1828,9167,3380
total,May-week 24,363,2805,11847,3746
total,May-week 25,409,3632,14355,4102
total,May-week 26,568,4301,16413,4427
total,Jun-week 27,597,4828,18564,5113
total,Jun-week 28,614,5856,20194,5149
total,Jun-week 29,511,5936,21327,4613
total,Jun-week 30,27,4307,15928,347
