OID,Municipality,State,below_wellness_class,percentage_below_line,covid_total,population,covid_dead_total
1617,Aguascalientes,Aguascalientes,More than 25%,37.6,1837,861446,149
1622,Asientos,Aguascalientes,More than 50%,61.7,28,46624,3
1623,Calvillo,Aguascalientes,More than 50%,63.1,36,52773,2
1621,Cosio,Aguascalientes,More than 50%,51.2,42,15321,0
1615,Jesus Maria,Aguascalientes,More than 25%,31.6,74,125750,4
1625,Pabellon de Arteaga,Aguascalientes,More than 25%,45.5,93,45733,6
1619,Rincon de Romos,Aguascalientes,More than 50%,59.9,129,50895,5
1618,San Jose de Gracia,Aguascalientes,More than 50%,64.1,23,8768,0
1620,Tepezala,Aguascalientes,More than 50%,57.7,64,20484,2
1624,El Llano,Aguascalientes,More than 50%,63.2,6,19955,0
1616,San Francisco de los Romo,Aguascalientes,More than 25%,45,30,45152,4
348,Ensenada,Baja California,More than 25%,40.1,939,569425,155
347,Mexicali,Baja California,More than 25%,33.8,5110,1014987,1073
345,Tecate,Baja California,More than 25%,33.8,233,110870,63
344,Tijuana,Baja California,More than 25%,37.9,2845,1693494,1123
346,Playas de Rosarito,Baja California,More than 25%,43.3,89,110698,22
354,Comondu,Baja California Sur,More than 25%,45.6,152,82445,16
353,Mulege,Baja California Sur,More than 25%,35,242,65196,12
352,La Paz,Baja California Sur,More than 25%,31.5,582,293687,48
355,Los Cabos,Baja California Sur,More than 25%,32.5,490,306837,36
351,Loreto,Baja California Sur,More than 50%,51,111,22045,2
2439,Calkini,Campeche,More than 50%,62.1,54,53086,10
2441,Campeche,Campeche,More than 25%,39.6,733,283248,81
2438,Carmen,Campeche,More than 25%,32.2,841,276498,128
2447,Champoton,Campeche,More than 50%,61.3,62,89851,10
2440,Hecelchakan,Campeche,More than 50%,61,50,29167,6
2446,Hopelchan,Campeche,More than 50%,70.6,20,34592,2
2437,Palizada,Campeche,More than 50%,63.3,7,9092,3
2445,Tenabo,Campeche,More than 50%,58.2,24,11093,3
2444,Escarcega,Campeche,More than 50%,61.3,154,61888,5
2443,Calakmul,Campeche,More than 50%,74.7,14,22738,3
2442,Candelaria,Campeche,More than 50%,68.4,39,40532,5
2286,Acuña,Coahuila,More than 25%,46.6,363,149023,44
2285,Allende,Coahuila,More than 25%,47.6,6,22818,2
2284,Arteaga,Coahuila,More than 50%,51.3,11,22022,1
2282,Castaños,Coahuila,More than 25%,42.2,25,29062,5
2281,Cuatro Cienegas,Coahuila,More than 50%,51,16,14168,0
2280,Escobedo,Coahuila,More than 50%,64.2,2,3094,0
2279,Francisco I. Madero,Coahuila,More than 50%,50.9,196,58412,16
2278,Frontera,Coahuila,More than 25%,29.8,93,82558,10
2277,General Cepeda,Coahuila,More than 50%,69.2,1,11061,0
2276,Guerrero,Coahuila,More than 50%,53.4,1,1706,0
2274,Jimenez,Coahuila,More than 50%,56.6,3,10341,3
2273,Juarez,Coahuila,More than 25%,27.9,2,1582,1
2252,Matamoros,Coahuila,More than 50%,52.8,175,108504,18
2271,Monclova,Coahuila,More than 25%,33.3,362,230423,79
2270,Morelos,Coahuila,More than 50%,62.1,3,8646,1
2269,Muzquiz,Coahuila,More than 25%,47.4,74,70744,10
2268,Nadadores,Coahuila,More than 25%,32.2,3,6650,1
2267,Nava,Coahuila,More than 25%,37.8,14,31653,1
2266,Ocampo,Coahuila,More than 50%,55.1,30,11607,0
2251,Parras,Coahuila,More than 50%,53.3,27,43759,3
2265,Piedras Negras,Coahuila,More than 25%,49.3,201,162764,21
2264,Progreso,Coahuila,More than 25%,33.6,1,3320,0
2263,Ramos Arizpe,Coahuila,More than 25%,28,23,94085,2
2262,Sabinas,Coahuila,More than 25%,40.8,198,63994,9
2261,Sacramento,Coahuila,More than 25%,31.3,27,2372,2
2260,Saltillo,Coahuila,More than 25%,26.8,593,834024,73
2259,San Buenaventura,Coahuila,More than 25%,33.7,8,23764,6
2258,San Juan de Sabinas,Coahuila,More than 25%,39.8,152,43824,6
2257,San Pedro,Coahuila,More than 50%,68.3,351,94237,24
2250,Torreon,Coahuila,More than 25%,40,1890,677507,115
2255,Viesca,Coahuila,More than 50%,65.6,8,19533,1
2254,Villa Union,Coahuila,More than 50%,57.4,12,6382,1
2253,Zaragoza,Coahuila,More than 50%,50.6,12,13307,2
358,Armeria,Colima,More than 50%,56.9,10,29101,5
363,Colima,Colima,More than 25%,35.7,46,153497,17
361,Comala,Colima,More than 25%,48.5,3,23998,0
359,Coquimatlan,Colima,More than 50%,52.7,7,20598,3
365,Cuauhtemoc,Colima,More than 25%,48.4,9,30485,2
364,Ixtlahuacan,Colima,More than 50%,62.2,5,5656,1
357,Manzanillo,Colima,More than 25%,35.4,374,192009,60
362,Minatitlan,Colima,More than 50%,56.6,1,9194,0
356,Tecoman,Colima,More than 50%,55.1,75,123801,19
360,Villa de Alvarez,Colima,More than 25%,32.1,48,139201,11
845,Acacoyagua,Chiapas,More than 75%,79.7,2,20706,0
844,Acala,Chiapas,More than 75%,77.8,18,31527,7
798,Acapetahua,Chiapas,More than 75%,75,8,38014,1
843,Altamirano,Chiapas,More than 75%,96.2,15,33252,1
842,Amatan,Chiapas,More than 75%,92.2,1,14394,0
841,Amatenango de la Frontera,Chiapas,More than 75%,84.3,4,26554,0
840,Amatenango del Valle,Chiapas,More than 75%,99,,10030,
839,Angel Albino Corzo,Chiapas,More than 75%,89.8,1,19894,0
815,Arriaga,Chiapas,More than 50%,67.9,49,49666,9
838,Bejucal de Ocampo,Chiapas,More than 75%,98,1,7581,0
904,Bella Vista,Chiapas,More than 75%,89.4,2,14326,0
796,Berriozabal,Chiapas,More than 50%,69.9,45,54465,4
837,Bochil,Chiapas,More than 75%,84.9,29,25752,4
836,El Bosque,Chiapas,More than 75%,98.3,2,22871,0
835,Cacahoatan,Chiapas,More than 75%,77.9,20,40968,4
834,Catazaja,Chiapas,More than 75%,76.9,6,20950,0
902,Cintalapa,Chiapas,More than 50%,73,11,90776,7
833,Coapilla,Chiapas,More than 75%,96.2,2,9318,0
832,Comitan de Dominguez,Chiapas,More than 50%,69.2,112,173188,17
831,La Concordia,Chiapas,More than 75%,86.7,5,42203,4
814,Copainala,Chiapas,More than 75%,80.7,2,19587,1
830,Chalchihuitan,Chiapas,More than 75%,99.4,,16999,
829,Chamula,Chiapas,More than 75%,96.8,1,88356,1
813,Chapultenango,Chiapas,More than 75%,93.2,1,7734,1
827,Chenalho,Chiapas,More than 75%,99.1,2,40110,0
795,Chiapa de Corzo,Chiapas,More than 50%,63.3,128,125567,30
826,Chiapilla,Chiapas,More than 75%,92,5,5967,2
825,Chicoasen,Chiapas,More than 75%,83.2,2,5057,0
824,Chicomuselo,Chiapas,More than 75%,85.1,4,33063,1
823,Chilon,Chiapas,More than 75%,98.6,3,129377,0
799,Escuintla,Chiapas,More than 75%,80.3,6,32181,1
822,Frontera Comalapa,Chiapas,More than 75%,82.4,29,71703,3
821,Frontera Hidalgo,Chiapas,More than 50%,71.3,4,20353,1
903,La Grandeza,Chiapas,More than 75%,92.4,1,7137,1
820,Huehuetan,Chiapas,More than 50%,65.3,29,49044,6
819,Huixtan,Chiapas,More than 75%,93.5,2,14635,1
817,Huixtla,Chiapas,More than 50%,73.2,86,52110,19
797,La Independencia,Chiapas,More than 75%,91.8,6,32747,1
816,Ixhuatan,Chiapas,More than 75%,89.5,4,8493,0
811,Ixtacomitan,Chiapas,More than 75%,78.6,7,10738,1
898,Ixtapa,Chiapas,More than 75%,89.5,3,17580,1
897,Ixtapangajoya,Chiapas,More than 50%,74.9,6,5447,4
901,Jiquipilas,Chiapas,More than 75%,76.7,6,43475,5
896,Jitotol,Chiapas,More than 75%,96.1,5,20839,1
810,Juarez,Chiapas,More than 50%,60.2,19,30661,6
800,La Libertad,Chiapas,More than 50%,63.8,1,4966,0
894,Mapastepec,Chiapas,More than 50%,74.3,23,60433,5
893,Las Margaritas,Chiapas,More than 75%,91.6,16,76741,1
892,Mazapa de Madero,Chiapas,More than 75%,88.5,3,7855,0
891,Mazatan,Chiapas,More than 75%,75.2,9,37882,2
790,Metapa,Chiapas,More than 75%,75.5,4,5797,2
889,Motozintla,Chiapas,More than 75%,86.3,42,42817,10
888,Nicolas Ruiz,Chiapas,More than 75%,99.4,4,4311,1
792,Ocosingo,Chiapas,More than 75%,88.1,60,149833,17
809,Ocotepec,Chiapas,More than 75%,95.9,1,7086,0
808,Ocozocoautla de Espinosa,Chiapas,More than 75%,78.4,73,84432,14
807,Ostuacan,Chiapas,More than 50%,68.2,8,26801,0
887,Osumacinta,Chiapas,More than 75%,78.9,1,3724,0
886,Oxchuc,Chiapas,More than 75%,97.7,1,27538,0
885,Palenque,Chiapas,More than 75%,78.7,89,126000,9
884,Pantelho,Chiapas,More than 75%,99,,22264,
882,Pichucalco,Chiapas,More than 50%,65.9,62,40936,0
881,Pijijiapan,Chiapas,More than 50%,72,22,74507,1
